,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
12,0.8155,0.8255,0.8357,0.8426,0.8467,0.8508,0.8559,0.8579,0.8611,0.8628,0.8646,0.8655,0.8696,0.8713,0.8702,0.8738,0.8764,0.8782,0.8787,0.8782,0.8787,0.8813,0.882,0.8845,0.8839,0.8871,0.8878,0.8854,0.8889,0.8865,0.8896,0.8898,0.8904,0.8915,0.8903,0.8932,0.8915,0.8937,0.8939,0.8946,0.8969,0.8954,0.896,0.8947,0.8975,0.896,0.8982,0.8983,0.8989,0.8976,0.8996
13,0.8151,0.8265,0.833,0.8398,0.8455,0.8512,0.8528,0.8583,0.8584,0.8621,0.863,0.8652,0.8686,0.8722,0.8735,0.8759,0.8767,0.8796,0.8814,0.8816,0.8824,0.8839,0.886,0.8866,0.8868,0.8875,0.888,0.8884,0.8892,0.8892,0.892,0.8918,0.8926,0.8929,0.8918,0.893,0.8932,0.8961,0.8962,0.8954,0.8966,0.8949,0.8947,0.8981,0.8915,0.8982,0.8973,0.9003,0.899,0.9013,0.8995
14,0.8094,0.8219,0.8332,0.8417,0.8472,0.8513,0.8525,0.8576,0.8614,0.864,0.8664,0.8687,0.87,0.8718,0.8752,0.8745,0.8756,0.8777,0.8786,0.8796,0.881,0.8821,0.8828,0.8849,0.8831,0.8854,0.8845,0.8869,0.8891,0.8875,0.8886,0.8878,0.8893,0.8903,0.8907,0.8917,0.8915,0.8933,0.891,0.8917,0.8928,0.8926,0.8971,0.894,0.8942,0.8962,0.8963,0.8966,0.8956,0.8945,0.8947
15,0.8148,0.8294,0.8397,0.845,0.849,0.8534,0.8574,0.8594,0.863,0.8652,0.8668,0.8672,0.8688,0.87,0.8716,0.8733,0.8733,0.8761,0.8788,0.8805,0.8819,0.8814,0.8824,0.884,0.8846,0.8836,0.8859,0.8864,0.8886,0.889,0.8883,0.8877,0.888,0.8924,0.8921,0.8921,0.8946,0.8932,0.8944,0.894,0.8938,0.896,0.8962,0.8956,0.8967,0.8978,0.8971,0.8981,0.8957,0.897,0.8986
16,0.8137,0.8284,0.8386,0.8443,0.8516,0.8587,0.8616,0.8617,0.863,0.8654,0.8655,0.8689,0.8699,0.8709,0.8726,0.8738,0.875,0.8768,0.8786,0.8792,0.8809,0.8795,0.8813,0.8821,0.8824,0.8841,0.8825,0.8854,0.8862,0.8859,0.8871,0.888,0.8887,0.8916,0.8886,0.8923,0.8916,0.8946,0.8936,0.8927,0.8951,0.8931,0.897,0.8972,0.894,0.8968,0.895,0.8977,0.8988,0.8978,0.8981
17,0.8094,0.822,0.8307,0.8381,0.8434,0.8479,0.8497,0.8533,0.8553,0.8593,0.8614,0.8632,0.8674,0.8702,0.8731,0.8739,0.8744,0.8757,0.8774,0.8781,0.8799,0.8829,0.8837,0.8862,0.8854,0.8857,0.8873,0.889,0.8906,0.8894,0.8888,0.8894,0.8921,0.8916,0.8918,0.8953,0.8945,0.8958,0.8975,0.8946,0.8985,0.8969,0.8969,0.896,0.8975,0.8987,0.8984,0.8986,0.9021,0.8983,0.8996
18,0.8121,0.8244,0.8327,0.8381,0.8457,0.8512,0.8564,0.8606,0.8644,0.8673,0.8682,0.8698,0.8698,0.8727,0.8735,0.8755,0.8776,0.8802,0.8821,0.8816,0.8845,0.8858,0.8869,0.8864,0.888,0.8891,0.8896,0.8909,0.8904,0.8899,0.8912,0.8919,0.892,0.8936,0.8923,0.8939,0.8934,0.8948,0.8967,0.8958,0.8961,0.8965,0.8968,0.8976,0.8996,0.9013,0.9008,0.9015,0.9016,0.8981,0.9014
19,0.8101,0.8216,0.8313,0.8341,0.8408,0.8474,0.8534,0.8561,0.8587,0.8635,0.8662,0.8694,0.8707,0.8712,0.8713,0.8755,0.8754,0.8775,0.8775,0.8773,0.8806,0.8814,0.8805,0.8826,0.884,0.8849,0.8869,0.8881,0.8902,0.8895,0.8903,0.8889,0.8897,0.89,0.8893,0.8945,0.8926,0.8937,0.8955,0.8941,0.8972,0.8956,0.8954,0.8964,0.8964,0.8967,0.8968,0.8955,0.8973,0.8978,0.9029
20,0.8103,0.8225,0.8331,0.8403,0.8459,0.85,0.8554,0.8577,0.8617,0.8635,0.8664,0.8684,0.871,0.8711,0.8717,0.8744,0.8752,0.8756,0.8761,0.8745,0.8793,0.879,0.8824,0.8831,0.8792,0.8839,0.8842,0.8876,0.8856,0.8861,0.8863,0.8875,0.8869,0.8901,0.8889,0.8925,0.8918,0.8923,0.8935,0.8887,0.8964,0.8927,0.8976,0.8951,0.8947,0.8963,0.8956,0.8977,0.8989,0.8965,0.8981
21,0.8179,0.8295,0.8372,0.8407,0.8479,0.8517,0.8559,0.8592,0.8618,0.8664,0.8684,0.8701,0.8716,0.8733,0.8746,0.8749,0.8769,0.8787,0.8812,0.8821,0.8814,0.8835,0.8857,0.8859,0.8863,0.888,0.8862,0.8906,0.8893,0.8904,0.8924,0.8921,0.8907,0.8927,0.8921,0.8927,0.8935,0.893,0.8958,0.8945,0.8979,0.8964,0.8932,0.8942,0.898,0.8941,0.8974,0.896,0.8984,0.8965,0.9022
