0.8087,0.8119,0.8134,0.8146,0.8179,0.8074,0.8286,0.8366,0.8146,0.8419,0.832,0.8484,0.8549,0.8644,0.8712,//cancel subtraction,,,,,,,,,,,,,,,,
0.8162,0.8185,0.8268,0.8273,0.8497,0.7575,0.855,0.8576,0.8583,0.85,0.868,//small batch size,,,,,,,,,,,,,,,,,,,,
0.8192,0.8193,0.8241,0.7423,0.8439,0.8481,0.7636,0.8565,0.8597,0.8588,0.77,small batch smaller  learning rate,,,,,,,,,,,,,,,,,,,,
0.8115,0.8155,0.8205,0.8245,0.7533,0.8499,0.855,0.861,0.8731,0.8777,0.8809,0.8814,0.8791,0.8812,0.8811,0.8802,0.883,0.886,0.8824,0.8825,0.8831,0.8856,0.8837,0.8835,0.8832,0.8848,0.8825,0.8825,0.8839,0.8846,0.8809,// new idea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8118,0.8159,0.8227,0.844,0.8493,0.8628,0.8721,,,,,,,,,,,,,,,,,,,,,,,,,
0.8096,0.8141,0.8222,0.8391,0.7523,0.849,0.8546,0.8547,0.8646,0.873,0.8729,0.874,0.8741,0.8754,0.8766,0.8771,0.8786,0.8791,0.8831,0.8821,0.8811,0.8826,0.8846,0.885,0.8842,0.8873,0.8825,0.887,0.885,0.8861,0.8841,
0.8152,0.8175,0.8201,0.8244,0.8292,0.8373,0.8417,0.8489,0.853,0.8568,0.857,0.8582,0.862,0.8656,//learning rate of Retrain_sub =1,,,,,,,,,,,,,,,,,

0.8125,0.8161,0.819,0.8209,0.8211,0.8375,0.8423,0.842,0.8441,0.8515,0.8569,0.8578,0.8585,0.8594,0.8608,0.8607,0.8641,0.8627,0.8629,0.8652,0.8649,0.8659,0.8663,0.866,0.8666,0.8685,0.8697,0.8693,0.8694,0.8691,0.8667,
0.809,0.8122,0.8188,0.8353,0.8454,0.8552,0.8625,0.8687,0.8703,0.8747,0.8741,0.8767,0.875,0.8761,0.8741,0.8739,0.8731,0.8707,0.8711,0.869,0.8696,0.8713,0.8682,0.8694,0.8696,0.8745,0.8694,0.8726,0.8712,0.8742,0.872,
0.8158,0.8199,0.8217,0.8314,0.8448,0.8597,0.8683,0.8738,0.876,0.8767,0.8762,0.8778,0.877,0.8778,0.8822,0.8807,0.8818,0.8791,0.8805,0.8792,0.8783,0.8797,0.8785,0.8813,0.882,0.8822,0.8825,0.8814,0.8818,0.8809,0.8859,
0.817,0.8194,0.8225,0.8356,0.85,0.8574,0.8688,0.8728,0.8744,0.8782,0.881,0.8776,0.8795,0.8805,0.8817,0.8824,0.8836,0.8829,0.8822,0.884,0.886,0.8833,0.885,0.8855,0.8852,0.8883,0.8873,0.8874,0.8836,0.886,0.8843,
0.8176,0.8201,0.8233,0.8404,0.8486,0.8571,0.8677,0.8705,0.8726,0.8746,0.8755,0.8777,0.877,0.8785,0.8775,0.8779,0.8778,0.878,0.8792,0.8757,0.8777,0.8783,0.8811,0.882,0.8776,0.8807,0.8795,0.8832,0.8829,0.884,0.8818,
