,dim1000,dim2000,dim5000,dim10000
20,0.70012,0.7482500000000001,0.7925,0.8054666666666667
40,0.7069166666666667,0.7571333333333333,0.7908166666666667,0.8045833333333333
80,0.7102124999999999,0.7556571428571429,0.78948,0.8051
100,0.7036,0.7481,0.7908999999999999,0.8061
120,0.70214,0.7552,0.79526,0.8044400000000002
